kind,kit,category,name,ui_base,registry_file,source_files,preview_image,upstream_url
block,quartz,hero-section,hero-section-13,base,registry/base/pro/hero-section-13.json,source/base/pro/blocks/hero-section/thirteen/index.tsx;source/base/pro/blocks/hero-section/thirteen/audio-icon.tsx;source/base/pro/blocks/hero-section/thirteen/header.tsx;source/base/pro/blocks/hero-section/thirteen/logo-cloud.tsx;source/base/pro/blocks/hero-section/thirteen/illustrations/image.tsx,previews/quartz/hero-section-13.png,https://tailark.com/r/hero-section-13.json
block,quartz,hero-section,hero-section-13,radix,registry/radix/pro/hero-section-13.json,source/radix/pro/blocks/hero-section/thirteen/index.tsx;source/radix/pro/blocks/hero-section/thirteen/audio-icon.tsx;source/radix/pro/blocks/hero-section/thirteen/header.tsx;source/radix/pro/blocks/hero-section/thirteen/logo-cloud.tsx;source/radix/pro/blocks/hero-section/thirteen/illustrations/image.tsx,previews/quartz/hero-section-13.png,https://tailark.com/r/radix/hero-section-13.json
block,quartz,hero-section,hero-section-14,base,registry/base/pro/hero-section-14.json,source/base/pro/blocks/hero-section/fourteen/index.tsx;source/base/pro/blocks/hero-section/fourteen/header.tsx;source/base/pro/blocks/hero-section/fourteen/logo-cloud.tsx;source/base/pro/blocks/hero-section/fourteen/illustrations/product.tsx,previews/quartz/hero-section-14.png,https://tailark.com/r/hero-section-14.json
block,quartz,hero-section,hero-section-14,radix,registry/radix/pro/hero-section-14.json,source/radix/pro/blocks/hero-section/fourteen/index.tsx;source/radix/pro/blocks/hero-section/fourteen/header.tsx;source/radix/pro/blocks/hero-section/fourteen/logo-cloud.tsx;source/radix/pro/blocks/hero-section/fourteen/illustrations/product.tsx,previews/quartz/hero-section-14.png,https://tailark.com/r/radix/hero-section-14.json
block,quartz,hero-section,hero-section-15,base,registry/base/pro/hero-section-15.json,source/base/pro/blocks/hero-section/fifteen/index.tsx;source/base/pro/blocks/hero-section/fifteen/header.tsx;source/base/pro/blocks/hero-section/fifteen/logo-cloud.tsx;source/base/pro/blocks/hero-section/fifteen/illustrations/image.tsx,previews/quartz/hero-section-15.png,https://tailark.com/r/hero-section-15.json
block,quartz,hero-section,hero-section-15,radix,registry/radix/pro/hero-section-15.json,source/radix/pro/blocks/hero-section/fifteen/index.tsx;source/radix/pro/blocks/hero-section/fifteen/header.tsx;source/radix/pro/blocks/hero-section/fifteen/logo-cloud.tsx;source/radix/pro/blocks/hero-section/fifteen/illustrations/image.tsx,previews/quartz/hero-section-15.png,https://tailark.com/r/radix/hero-section-15.json
block,quartz,hero-section,hero-section-16,base,registry/base/pro/hero-section-16.json,source/base/pro/blocks/hero-section/sixteen/index.tsx;source/base/pro/blocks/hero-section/sixteen/code-block.tsx;source/base/pro/blocks/hero-section/sixteen/header.tsx;source/base/pro/blocks/hero-section/sixteen/illustrations/code-block.tsx;source/base/pro/blocks/hero-section/sixteen/illustrations/image.tsx,previews/quartz/hero-section-16.png,https://tailark.com/r/hero-section-16.json
block,quartz,hero-section,hero-section-16,radix,registry/radix/pro/hero-section-16.json,source/radix/pro/blocks/hero-section/sixteen/index.tsx;source/radix/pro/blocks/hero-section/sixteen/code-block.tsx;source/radix/pro/blocks/hero-section/sixteen/header.tsx;source/radix/pro/blocks/hero-section/sixteen/illustrations/code-block.tsx;source/radix/pro/blocks/hero-section/sixteen/illustrations/image.tsx,previews/quartz/hero-section-16.png,https://tailark.com/r/radix/hero-section-16.json
block,quartz,hero-section,hero-section-2,base,registry/base/pro/hero-section-2.json,source/base/pro/blocks/hero-section/two/index.tsx;source/base/pro/blocks/hero-section/two/header.tsx;source/base/pro/blocks/hero-section/two/illustrations/mobile-wallet.tsx,previews/quartz/hero-section-2.png,https://tailark.com/r/hero-section-2.json
block,quartz,hero-section,hero-section-2,radix,registry/radix/pro/hero-section-2.json,source/radix/pro/blocks/hero-section/two/index.tsx;source/radix/pro/blocks/hero-section/two/header.tsx;source/radix/pro/blocks/hero-section/two/illustrations/mobile-wallet.tsx,previews/quartz/hero-section-2.png,https://tailark.com/r/radix/hero-section-2.json
block,quartz,hero-section,hero-section-3,base,registry/base/pro/hero-section-3.json,source/base/pro/blocks/hero-section/three/index.tsx;source/base/pro/blocks/hero-section/three/header.tsx;source/base/pro/blocks/hero-section/three/logo-cloud.tsx;source/base/pro/blocks/hero-section/three/illustrations/interactive-line-chart.tsx;source/base/pro/blocks/hero-section/three/illustrations/product.tsx,previews/quartz/hero-section-3.png,https://tailark.com/r/hero-section-3.json
block,quartz,hero-section,hero-section-3,radix,registry/radix/pro/hero-section-3.json,source/radix/pro/blocks/hero-section/three/index.tsx;source/radix/pro/blocks/hero-section/three/header.tsx;source/radix/pro/blocks/hero-section/three/logo-cloud.tsx;source/radix/pro/blocks/hero-section/three/illustrations/interactive-line-chart.tsx;source/radix/pro/blocks/hero-section/three/illustrations/product.tsx,previews/quartz/hero-section-3.png,https://tailark.com/r/radix/hero-section-3.json
block,quartz,hero-section,hero-section-4,base,registry/base/pro/hero-section-4.json,source/base/pro/blocks/hero-section/four/index.tsx;source/base/pro/blocks/hero-section/four/header.tsx;source/base/pro/blocks/hero-section/four/logo-cloud.tsx,previews/quartz/hero-section-4.png,https://tailark.com/r/hero-section-4.json
block,quartz,hero-section,hero-section-4,radix,registry/radix/pro/hero-section-4.json,source/radix/pro/blocks/hero-section/four/index.tsx;source/radix/pro/blocks/hero-section/four/header.tsx;source/radix/pro/blocks/hero-section/four/logo-cloud.tsx,previews/quartz/hero-section-4.png,https://tailark.com/r/radix/hero-section-4.json
block,quartz,hero-section,hero-section-5,base,registry/base/pro/hero-section-5.json,source/base/pro/blocks/hero-section/five/index.tsx;source/base/pro/blocks/hero-section/five/header.tsx,previews/quartz/hero-section-5.png,https://tailark.com/r/hero-section-5.json
block,quartz,hero-section,hero-section-5,radix,registry/radix/pro/hero-section-5.json,source/radix/pro/blocks/hero-section/five/index.tsx;source/radix/pro/blocks/hero-section/five/header.tsx,previews/quartz/hero-section-5.png,https://tailark.com/r/radix/hero-section-5.json
block,quartz,hero-section,hero-section-6,base,registry/base/pro/hero-section-6.json,source/base/pro/blocks/hero-section/six/index.tsx;source/base/pro/blocks/hero-section/six/header.tsx;source/base/pro/blocks/hero-section/six/logo-cloud.tsx;source/base/pro/blocks/hero-section/six/illustrations/product.tsx,previews/quartz/hero-section-6.png,https://tailark.com/r/hero-section-6.json
